filename,width,height,class,xmin,ymin,xmax,ymax
453-Ikalawa_PNG.rf.d568cbb7d162413b149d3d216c445a6c.jpg,204,52,ᜁ,5,11,53,46
453-Ikalawa_PNG.rf.d568cbb7d162413b149d3d216c445a6c.jpg,204,52,ᜃ,63,9,108,49
453-Ikalawa_PNG.rf.d568cbb7d162413b149d3d216c445a6c.jpg,204,52,ᜎ,112,8,158,49
453-Ikalawa_PNG.rf.d568cbb7d162413b149d3d216c445a6c.jpg,204,52,ᜏ,162,10,204,45
17-Kababata_PNG.rf.d020c81328b71b1860eccf4cea66aa37.jpg,236,54,ᜃ,3,7,60,45
17-Kababata_PNG.rf.d020c81328b71b1860eccf4cea66aa37.jpg,236,54,ᜊ,65,7,112,45
17-Kababata_PNG.rf.d020c81328b71b1860eccf4cea66aa37.jpg,236,54,ᜊ,120,7,168,45
17-Kababata_PNG.rf.d020c81328b71b1860eccf4cea66aa37.jpg,236,54,ᜆ,174,9,231,42
10-Ako_PNG.rf.b3c881342ca9995489d0cf8fae50f239.jpg,111,50,ᜀ,3,3,53,38
10-Ako_PNG.rf.b3c881342ca9995489d0cf8fae50f239.jpg,111,50,ᜃᜓ,57,3,105,47
362-Kasamahan_PNG.rf.7e9ea047a788c585e38826d1ec80da23.jpg,229,61,ᜃ,4,10,48,50
362-Kasamahan_PNG.rf.7e9ea047a788c585e38826d1ec80da23.jpg,229,61,ᜐ,53,16,100,54
362-Kasamahan_PNG.rf.7e9ea047a788c585e38826d1ec80da23.jpg,229,61,ᜋ,106,10,139,47
362-Kasamahan_PNG.rf.7e9ea047a788c585e38826d1ec80da23.jpg,229,61,ᜑ,144,13,186,35
362-Kasamahan_PNG.rf.7e9ea047a788c585e38826d1ec80da23.jpg,229,61,ᜈ᜔,189,8,225,61
492-Tinatangi_PNG.rf.ac16f0ced39981f0375c3b44c2489509.jpg,257,63,ᜆᜒ,8,8,55,52
492-Tinatangi_PNG.rf.ac16f0ced39981f0375c3b44c2489509.jpg,257,63,ᜈ,73,19,112,56
492-Tinatangi_PNG.rf.ac16f0ced39981f0375c3b44c2489509.jpg,257,63,ᜆ,132,18,180,53
492-Tinatangi_PNG.rf.ac16f0ced39981f0375c3b44c2489509.jpg,257,63,ᜅᜒ,197,8,246,54
228-Salita_PNG.rf.f0b6a83f32b374c21d5cfabc74e1786a.jpg,284,124,ᜐ,3,23,80,119
228-Salita_PNG.rf.f0b6a83f32b374c21d5cfabc74e1786a.jpg,284,124,ᜎᜒ,94,0,189,112
228-Salita_PNG.rf.f0b6a83f32b374c21d5cfabc74e1786a.jpg,284,124,ᜆ,192,30,284,94
322-Nagmamahal_PNG.rf.660080f09ac658636d1b87cc7d342f31.jpg,373,70,ᜈ,8,20,52,62
