truth\pred,ᜀ,ᜊ,ᜃ,ᜇ,ᜁ,ᜄ,ᜑ,ᜎ,ᜋ,ᜈ,ᜅ,ᜂ,ᜉ,ᜐ,ᜆ,ᜏ,ᜌ,ᜒ,ᜓ,᜔,<DEL>
ᜀ,536,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ᜊ,0,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ᜃ,0,0,2269,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
ᜇ,0,0,0,2261,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,0,0
ᜁ,0,0,1,3,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ᜄ,0,0,0,0,0,2168,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0
ᜑ,0,0,0,0,0,0,1056,2,0,0,0,0,3,0,2,0,2,0,1,0,1
ᜎ,0,0,1,0,0,0,0,2577,0,0,0,0,0,1,2,0,0,0,1,0,0
ᜋ,0,0,0,0,0,0,0,0,2435,0,2,0,1,0,0,0,0,0,0,0,0
ᜈ,0,0,0,0,0,0,2,2,0,3009,0,0,0,0,0,0,0,0,0,0,0
ᜅ,0,0,0,0,0,0,0,24,0,34,955,0,0,0,0,0,0,0,0,0,0
ᜂ,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,1,0,0,0,0,2
ᜉ,1,0,0,0,0,0,3,0,4,0,1,0,2326,6,1,6,12,0,0,0,2
ᜐ,0,0,0,0,0,0,0,0,0,0,0,0,3,2172,0,3,0,0,0,0,3
ᜆ,0,0,0,0,0,0,0,8,0,0,1,0,0,0,2420,0,0,0,0,0,2
ᜏ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,615,5,0,0,0,0
ᜌ,3,0,0,0,0,0,3,0,1,0,0,0,11,1,0,6,1068,0,1,0,0
ᜒ,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4655,2,0,30
ᜓ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,4171,95,22
᜔,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24,8303,9
<INS>,1,2,1,2,0,0,3,1,2,1,2,1,2,0,2,2,5,8,10,9,
